utility_id,name
1,"Camera an ninh"
2,"Giờ giấc tự do"
3,"Máy lạnh"
4,"Tủ quần áo"
5,Quạt
6,"Giường ngủ"
7,Internet
8,"Không chung chủ"
9,"Chỗ đậu xe"
10,"Bảo vệ"
11,"Tủ lạnh"
12,Tivi
13,"WC riêng"
14,"Máy giặt"
15,"Máy nước nóng"
